ID,Provincia,Canton,Localizacion,Cantidad,Tasa,Genero,Año
,SAN JOSE,TARRAZU,COLON,0,0,HOMBRE,2011
,SAN JOSE,ASERRI,COLON,0,0,HOMBRE,2011
,SAN JOSE,MORA,COLON,0,0,HOMBRE,2011
,SAN JOSE,GOICOECHEA,COLON,5,7.62,HOMBRE,2011
,SAN JOSE,SANTA ANA,COLON,1,4.54,HOMBRE,2011
,SAN JOSE,ALAJUELITA,COLON,3,4.5,HOMBRE,2011
,SAN JOSE,CORONADO,COLON,2,4.84,HOMBRE,2011
,SAN JOSE,ACOSTA,COLON,1,10.01,HOMBRE,2011
,SAN JOSE,TIBAS,COLON,1,3.32,HOMBRE,2011
,SAN JOSE,MORAVIA,COLON,2,7.38,HOMBRE,2011
